fire_name,fire_dateonly_created,precipitation,max_temp,min_temp,avg_wind_speed,temp_range,wind_temp_ratio,lagged_precipitation,lagged_avg_wind_speed,month,season,fire_longitude,fire_latitude,fire_acres_burned,bright_t31,frp,brightness,clean_county,year
 Bridge Fire,2017-10-31,0.0,69.0,63.0,6.04,6.0,0.0875362318840579,0.0,6.391428571428572,10,Fall,-122.309,40.774,37.0,289.9393150684932,28.226986301369863,315.5752054794521,Shasta County,2017
River Fire,2013-02-24,0.0,65.0,46.0,7.61,19.0,0.117076923076923,0.1300000000000006,8.885714285714286,2,Winter,-118.01651,36.602575,407.0,286.6,67.9,321.2,Inyo County,2013
Fawnskin Fire,2013-04-20,0.0,78.0,55.0,5.82,23.0,0.0746153846153846,0.0600000000000006,9.332857142857142,4,Spring,-116.941311,34.288877,30.0,294.73407821229057,29.36871508379888,316.38491620111733,San Bernardino County,2013
Gold Fire,2013-04-30,0.0,67.0,59.0,7.61,8.0,0.1135820895522388,0.0,7.062857142857142,4,Spring,-119.635004,37.116295,274.0,296.0647798742138,33.913836477987424,317.15220125786163,Madera County,2013
Panther Fire,2013-05-01,0.0,71.0,61.0,7.61,10.0,0.1071830985915493,0.0,7.382857142857143,5,Spring,-121.595555,40.190062,6896.0,313.7,321.4,409.3,Tehama County,2013
Silverado Fire,2013-04-30,0.0,67.0,59.0,7.61,8.0,0.1135820895522388,0.0,7.062857142857142,4,Spring,-122.350844,38.441792,75.0,296.0647798742138,33.913836477987424,317.15220125786163,Napa County,2013
Yellow Fire,2013-05-01,0.0,71.0,61.0,7.61,10.0,0.1071830985915493,0.0,7.382857142857143,5,Spring,-122.655616,38.638828,125.0,297.20338983050846,39.36652542372882,325.4305084745763,Sonoma County,2013
Summit Fire,2013-05-01,0.0,71.0,61.0,7.61,10.0,0.1071830985915493,0.0,7.382857142857143,5,Spring,-116.941311,34.288877,2956.0,297.20338983050846,39.36652542372882,325.4305084745763,San Bernardino County,2013
Tres Pinos Fire,2013-05-03,0.0,90.0,61.0,6.04,29.0,0.0671111111111111,0.0,6.871428571428572,5,Spring,-120.937494,37.160346,354.0,296.0834615384615,94.44076923076922,328.4973076923077,Merced County,2013
306 Fire,2013-05-01,0.0,71.0,61.0,7.61,10.0,0.1071830985915493,0.0,7.382857142857143,5,Spring,-122.560862,39.514139,217.0,297.20338983050846,39.36652542372882,325.4305084745763,Glenn County,2013
Lytle Fire,2013-05-13,0.0,84.0,65.0,7.61,19.0,0.0905952380952381,0.2000000000000006,7.925714285714285,5,Spring,-117.4408,34.1834,75.0,299.43220858895705,43.926687116564416,326.816564417178,San Bernardino County,2013
Gorgonio Fire,2013-05-04,0.0,73.0,59.0,8.5,14.0,0.1164383561643835,0.0,7.031428571428571,5,Spring,-116.855019,33.894055,650.0,297.1210191082803,58.34904458598726,322.4420382165605,Riverside County,2013
Grand Fire,2013-05-15,0.0,70.0,58.0,6.93,12.0,0.0989999999999999,0.0,7.444285714285714,5,Spring,-118.9411,34.7861,4346.0,298.891103202847,56.84199288256227,331.58612099644125,Ventura County,2013
54 Fire,2013-05-16,0.0,70.0,62.0,7.38,8.0,0.1054285714285714,0.0,7.508571428571428,5,Spring,-116.161201,33.655638,40.0,295.2934010152284,103.65279187817258,335.6147208121827,Riverside County,2013
Lake Fire,2013-05-17,0.0,71.0,62.0,7.16,9.0,0.1008450704225352,0.0,7.477142857142858,5,Spring,-118.610044,34.49149,712.0,296.55,38.3375,326.9308333333334,Los Angeles County,2013
Lilly 2 Fire,2013-05-19,0.0,71.0,58.0,6.26,13.0,0.088169014084507,0.0,7.477142857142858,5,Spring,-119.7917,37.1927,91.0,291.98679245283023,74.42169811320754,335.47169811320754,Madera County,2013
Cottontail Fire,2013-05-20,0.0,73.0,61.0,6.71,12.0,0.091917808219178,0.0,7.348571428571428,5,Spring,-120.91375,35.49864,35.0,302.4987341772151,97.8113924050633,330.63164556962016,San Luis Obispo County,2013
Cherry Fire,2013-05-20,0.0,73.0,61.0,6.71,12.0,0.091917808219178,0.0,7.348571428571428,5,Spring,-116.907213,33.96201,25.0,302.4987341772151,97.8113924050633,330.63164556962016,Riverside County,2013
Water Fire,2013-05-21,0.0,74.0,62.0,7.16,12.0,0.0967567567567567,0.0,6.869999999999999,5,Spring,-116.6534,33.9582,90.0,295.33145161290327,44.60645161290322,322.7008064516129,Riverside County,2013
Shelton Fire,2013-05-30,0.0,75.0,64.0,6.71,11.0,0.0894666666666666,0.0,8.052857142857142,5,Spring,-120.90325,38.04993,303.0,296.5338842975207,40.58429752066116,323.08677685950414,Stanislaus County,2013
Border Fire,2013-05-22,0.0,71.0,63.0,8.5,8.0,0.1197183098591549,0.0,7.094285714285713,5,Spring,-116.900368,32.564465,100.0,298.25825242718446,33.2126213592233,322.75436893203886,San Diego County,2013
San Felipe Fire,2013-05-23,0.0,70.0,61.0,9.17,9.0,0.131,0.0,7.35,5,Spring,-116.52579,33.12111,2650.0,298.0420689655173,40.98275862068966,318.69379310344823,San Diego County,2013
Homestead Fire,2013-05-25,0.0,69.0,59.0,8.72,10.0,0.1263768115942029,0.0,7.732857142857143,5,Spring,-120.6368,35.5123,50.0,298.0348623853211,17.40550458715596,316.08532110091744,San Luis Obispo County,2013
Smiley Fire,2013-05-25,0.0,69.0,59.0,8.72,10.0,0.1263768115942029,0.0,7.732857142857143,5,Spring,-117.187934,33.963591,124.0,298.0348623853211,17.40550458715596,316.08532110091744,Riverside County,2013
General Fire,2013-05-26,0.0,70.0,59.0,7.38,11.0,0.1054285714285714,0.0,7.892857142857143,5,Spring,-116.5209,33.04458,2500.0,314.0,95.9,351.9,San Diego County,2013
White Fire,2013-05-27,0.0,71.0,60.0,7.16,11.0,0.1008450704225352,0.0,7.957142857142857,5,Spring,-119.82429,34.55048,1984.0,295.8069444444444,20.26805555555556,317.18055555555554,Santa Barbara County,2013
Magic Fire,2013-05-28,0.0,74.0,62.0,9.17,12.0,0.1239189189189189,0.0,8.244285714285715,5,Spring,-118.58688,34.419284,149.0,299.0831683168317,50.91980198019802,323.35247524752475,Los Angeles County,2013
Olive Fire,2013-05-28,0.0,74.0,62.0,9.17,12.0,0.1239189189189189,0.0,8.244285714285715,5,Spring,-120.074655,34.611824,170.0,299.0831683168317,50.91980198019802,323.35247524752475,Santa Barbara County,2013
Branch Fire,2013-06-01,0.0,73.0,63.0,6.71,10.0,0.091917808219178,0.0,7.732857142857143,6,Summer,-120.05131,35.15832,500.0,296.6923076923077,137.8401337792642,336.7735785953177,San Luis Obispo County,2013
Murphy Fire,2013-06-02,0.0,76.0,65.0,6.26,11.0,0.0823684210526315,0.0,7.572857142857143,6,Summer,-120.33313,37.91529,100.0,299.0775423728813,96.78898305084748,336.47584745762714,Tuolumne County,2013
Lone Fire,2013-06-03,0.0,73.0,64.0,7.83,9.0,0.1072602739726027,0.0,7.668571428571428,6,Summer,-121.576804,39.434183,298.0,318.5,123.6,365.9,Butte County,2013
Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10,0.0,73.0,63.0,8.28,10.0,0.1134246575342465,0.0,7.798571428571429,6,Summer,-122.0437,38.4229,28.0,297.88187134502925,163.41461988304096,335.70877192982454,Solano County,2013
152 Fire,2013-06-04,0.0,71.0,63.0,9.62,8.0,0.1354929577464788,0.0,7.732857142857142,6,Summer,-121.006939,37.03776,124.0,296.8755681818182,62.76818181818182,328.5897727272727,Merced County,2013
Lake Fire,2013-06-05,0.0,69.0,62.0,10.07,7.0,0.1459420289855072,0.0,7.797142857142857,6,Summer,-122.703193,38.99233,30.0,295.68675496688746,94.22649006622515,330.7814569536424,Lake County,2013
Powerhouse Fire,2013-05-30,0.0,75.0,64.0,6.71,11.0,0.0894666666666666,0.0,8.052857142857142,5,Spring,-118.423176,34.585595,30274.0,296.5338842975207,40.58429752066116,323.08677685950414,Los Angeles County,2013
Vasco Fire,2013-06-08,0.0,72.0,62.0,5.59,10.0,0.0776388888888888,0.0,7.67,6,Summer,-121.737213,37.775057,240.0,297.659829059829,36.46495726495727,323.79658119658126,Contra Costa County,2013
Viper Fire,2013-06-08,0.0,72.0,62.0,5.59,10.0,0.0776388888888888,0.0,7.67,6,Summer,-117.1265,33.96936,42.0,297.659829059829,36.46495726495727,323.79658119658126,Riverside County,2013
Northern California Lightning Activity,2013-06-10,0.0,73.0,63.0,8.28,10.0,0.1134246575342465,0.0,7.798571428571429,6,Summer,-121.5747,39.9845,60.0,297.88187134502925,163.41461988304096,335.70877192982454,Butte County,2013
Roadrunner Fire,2013-06-12,0.0,69.0,62.0,7.61,7.0,0.1102898550724637,0.0,7.287142857142858,6,Summer,-120.966016,38.27783,96.0,298.1772435897436,129.60897435897436,335.84198717948715,Amador County,2013
Revis Fire,2013-06-12,0.0,69.0,62.0,7.61,7.0,0.1102898550724637,0.0,7.287142857142858,6,Summer,-119.75636,37.169379,75.0,298.1772435897436,129.60897435897436,335.84198717948715,Madera County,2013
Clinton Fire,2013-06-13,0.0,72.0,62.0,6.93,10.0,0.09625,0.0,7.158571428571428,6,Summer,-119.628389,36.772425,108.0,298.7473372781065,46.74112426035503,326.7251479289941,Fresno County,2013
Carstens Fire,2013-06-16,0.0,71.0,61.0,8.05,10.0,0.1133802816901408,0.0,7.99,6,Summer,-119.91071,37.58202,1708.0,293.1848214285714,73.33616071428573,329.6910714285714,Mariposa County,2013
PFE Fire,2013-06-13,0.0,72.0,62.0,6.93,10.0,0.09625,0.0,7.158571428571428,6,Summer,-121.380862,38.729297,237.0,298.7473372781065,46.74112426035503,326.7251479289941,Placer County,2013
Michelle Fire,2013-06-13,0.0,72.0,62.0,6.93,10.0,0.09625,0.0,7.158571428571428,6,Summer,-119.558244,36.763367,35.0,298.7473372781065,46.74112426035503,326.7251479289941,Fresno County,2013
Palmyrita Fire,2013-06-14,0.0,73.0,61.0,7.16,12.0,0.0980821917808219,0.0,7.254285714285714,6,Summer,-117.302057,34.001745,40.0,298.72064220183483,63.2697247706422,327.6192660550459,Riverside County,2013
Rolling Fire,2013-06-16,0.0,71.0,61.0,8.05,10.0,0.1133802816901408,0.0,7.99,6,Summer,-119.78106,37.015575,480.0,293.1848214285714,73.33616071428573,329.6910714285714,Madera County,2013
California Fire,2013-06-18,0.0,73.0,63.0,7.61,10.0,0.1042465753424657,0.0,7.511428571428572,6,Summer,-122.13802,38.08744,124.0,300.6994722955145,195.9655672823219,348.53812664907656,Solano County,2013
Sierra Fire,2013-06-17,0.0,71.0,60.0,5.82,11.0,0.0819718309859155,0.0,7.63857142857143,6,Summer,-119.463757,37.03087,46.0,296.48524173027994,113.4384223918575,333.68931297709923,Fresno County,2013
George Fire,2013-06-25,0.0,72.0,64.0,8.95,8.0,0.1243055555555555,0.0,7.67,6,Summer,-119.2248,36.7218,150.0,298.1837376460018,131.11482479784365,340.6635220125786,Fresno County,2013
Mount Fire,2013-06-20,0.0,75.0,61.0,6.49,14.0,0.0865333333333333,0.0,7.384285714285714,6,Summer,-122.81796,38.98058,25.0,298.91161290322583,139.9564516129032,337.83580645161294,Lake County,2013
Mills Fire,2013-06-28,0.0,76.0,64.0,6.71,12.0,0.0882894736842105,0.0,7.637142857142857,6,Summer,-117.048397,34.071556,534.0,294.7937722419928,87.04964412811387,330.8991103202847,San Bernardino County,2013
Concord Fire,2013-07-01,0.0,81.0,66.0,6.71,15.0,0.0828395061728395,0.0,6.805714285714286,7,Summer,-121.74367,39.90465,274.0,300.70080160320646,183.2575150300601,347.2124248496994,Butte County,2013
Freeman Fire,2013-06-29,0.0,76.0,63.0,6.71,13.0,0.0882894736842105,0.0,7.412857142857143,6,Summer,-120.8973,36.1531,105.0,293.6977346278317,76.33624595469256,331.3553398058252,Monterey County,2013
Kirker Fire,2013-07-01,0.0,81.0,66.0,6.71,15.0,0.0828395061728395,0.0,6.805714285714286,7,Summer,-121.91453,37.96866,492.0,300.70080160320646,183.2575150300601,347.2124248496994,Contra Costa County,2013
Northern Region July Lightning,2013-07-02,0.0,77.0,65.0,7.16,12.0,0.0929870129870129,0.0,6.549999999999999,7,Summer,-121.5747,39.9845,754.0,299.3830927835051,64.69278350515464,333.4579381443299,Butte County,2013
Fox Fire (formally 3-7 Fire),2013-07-03,0.0,74.0,65.0,7.38,9.0,0.0997297297297297,0.0,6.614285714285715,7,Summer,-121.035,41.2415,502.0,298.00037174721194,156.63940520446096,341.42081784386613,Modoc County,2013
Vina Fire,2013-07-04,0.0,74.0,64.0,6.93,10.0,0.0936486486486486,0.0,6.677142857142857,7,Summer,-122.079871,40.012398,200.0,295.4769503546099,101.41985815602835,335.86382978723407,Tehama County,2013
Grant Fire,2013-07-04,0.0,74.0,64.0,6.93,10.0,0.0936486486486486,0.0,6.677142857142857,7,Summer,-121.5869,37.7393,50.0,295.4769503546099,101.41985815602835,335.86382978723407,Alameda County,2013
Fallon Fire,2013-07-06,0.0,75.0,66.0,6.49,9.0,0.0865333333333333,0.0,6.677142857142857,7,Summer,-121.86216,37.74241,38.0,297.61508875739645,133.35562130177513,337.94289940828406,Contra Costa County,2013
Chariot Fire,2013-07-06,0.0,75.0,66.0,6.49,9.0,0.0865333333333333,0.0,6.677142857142857,7,Summer,-116.47381,32.95435,7055.0,297.61508875739645,133.35562130177513,337.94289940828406,San Diego County,2013
Adelaida Fire,2013-07-07,0.0,72.0,65.0,7.38,7.0,0.1025,0.0,6.997142857142856,7,Summer,-120.83417,35.62743,85.0,299.05976331360944,86.17337278106508,329.1550295857988,San Luis Obispo County,2013
McGanney Fire,2013-07-08,0.0,75.0,64.0,7.83,11.0,0.1044,0.0,7.157142857142857,7,Summer,-121.31634,39.206,73.0,298.0297008547008,167.2053418803419,340.026923076923,Yuba County,2013
Fiddler Fire,2013-07-09,0.0,76.0,65.0,6.71,11.0,0.0882894736842105,0.0,7.092857142857143,7,Summer,-122.7338,40.373,43.0,320.1,16.7,332.2,Shasta County,2013
Kyburz Fire,2013-07-08,0.0,75.0,64.0,7.83,11.0,0.1044,0.0,7.157142857142857,7,Summer,-120.298,38.774,572.0,298.0297008547008,167.2053418803419,340.026923076923,El Dorado County,2013
Uvas Fire,2013-07-12,0.0,79.0,62.0,7.16,17.0,0.090632911392405,0.0,6.4557142857142855,7,Summer,-121.7804,37.1438,50.0,299.71363636363634,49.471969696969694,326.2871212121212,Santa Clara County,2013
Diablo Fire,2013-07-12,0.0,79.0,62.0,7.16,17.0,0.090632911392405,0.0,6.4557142857142855,7,Summer,-121.1955,37.436,150.0,299.71363636363634,49.471969696969694,326.2871212121212,Stanislaus County,2013
Mountain Fire,2013-07-15,0.0,75.0,64.0,8.28,11.0,0.1104,0.0,6.4557142857142855,7,Summer,-116.72885,33.7095,27531.0,296.193063583815,30.92716763005781,321.6132947976879,Riverside County,2013
Silverwood Fire,2013-07-25,0.0,73.0,63.0,8.05,10.0,0.1102739726027397,0.0100000000000006,7.508571428571429,7,Summer,-117.352,34.316,75.0,295.6019083969466,74.42748091603053,329.60610687022904,San Bernardino County,2013
Flume Fire,2013-07-28,0.0,71.0,63.0,6.93,8.0,0.0976056338028169,0.0300000000000006,8.307142857142857,7,Summer,-116.707335,32.612773,25.0,295.54982014388486,117.62248201438848,332.14442446043165,San Diego County,2013
Aspen Fire,2013-07-22,0.01,74.0,65.0,8.05,9.0,0.1087837837837838,0.0100000000000006,6.87,7,Summer,-119.318,37.279,22992.0,302.80719794344475,85.06529562982006,340.6282776349614,Fresno County,2013
Salmon River Complex,2013-07-31,0.0,70.0,63.0,9.62,7.0,0.1374285714285714,0.0200000000000006,8.308571428571428,7,Summer,-123.176,41.32,14754.0,294.9065420560748,46.61214953271028,325.5495327102804,Siskiyou County,2013
Branch Fire,2013-08-01,0.0,70.0,62.0,6.49,8.0,0.0927142857142857,0.0200000000000006,8.085714285714285,8,Summer,-121.50354,39.6612,92.0,296.26117936117936,74.71523341523341,328.64176904176907,Butte County,2013
Redlands Fire,2013-07-16,0.0,75.0,62.0,8.05,13.0,0.1073333333333333,0.0,6.647142857142858,7,Summer,-117.164997,33.990128,150.0,300.43869209809264,176.6089918256131,342.31089918256134,Riverside County,2013
Relay Fire,2013-08-04,0.0,71.0,61.0,7.61,10.0,0.1071830985915493,0.0,7.958571428571429,8,Summer,-116.99895,33.91027,60.0,295.0579881656805,87.48846153846154,329.35532544378697,Riverside County,2013
Water Fire,2013-07-23,0.0,73.0,63.0,10.51,10.0,0.143972602739726,0.0100000000000006,7.221428571428572,7,Summer,-118.93388,34.90327,612.0,298.5,143.0,332.1,Kern County,2013
Pratt Fire,2013-07-23,0.0,73.0,63.0,10.51,10.0,0.143972602739726,0.0100000000000006,7.221428571428572,7,Summer,-123.067671,38.980846,45.0,297.5285714285714,92.6516717325228,330.3285714285714,Mendocino County,2013
Rancho Fire,2013-07-19,0.0,73.0,63.0,6.93,10.0,0.094931506849315,0.0,7.381428571428572,7,Summer,-118.9194,34.882,500.0,298.03442622950826,53.214754098360665,323.41803278688525,Kern County,2013
Paskenta Fire,2013-07-19,0.0,73.0,63.0,6.93,10.0,0.094931506849315,0.0,7.381428571428572,7,Summer,-122.330879,39.961309,195.0,298.03442622950826,53.214754098360665,323.41803278688525,Tehama County,2013
Lakeville Fire,2013-07-26,0.02,73.0,63.0,7.38,10.0,0.1010958904109589,0.0300000000000006,7.572857142857143,7,Summer,-122.51253,38.17693,158.0,296.28,116.30272727272728,328.45863636363634,Sonoma County,2013
50 Fire,2013-07-19,0.0,73.0,63.0,6.93,10.0,0.094931506849315,0.0,7.381428571428572,7,Summer,-121.08438,38.63987,163.0,298.03442622950826,53.214754098360665,323.41803278688525,Sacramento County,2013
Heacock Fire,2013-07-19,0.0,73.0,63.0,6.93,10.0,0.094931506849315,0.0,7.381428571428572,7,Summer,-117.2508,33.9634,40.0,298.03442622950826,53.214754098360665,323.41803278688525,Riverside County,2013
Gilman Fire,2013-07-19,0.0,73.0,63.0,6.93,10.0,0.094931506849315,0.0,7.381428571428572,7,Summer,-117.09306,33.94528,15.0,298.03442622950826,53.214754098360665,323.41803278688525,Riverside County,2013
Chuckwagon Fire,2013-07-22,0.01,74.0,65.0,8.05,9.0,0.1087837837837838,0.0100000000000006,6.87,7,Summer,-120.696362,37.965364,31.0,302.80719794344475,85.06529562982006,340.6282776349614,Calaveras County,2013
Power Fire,2013-08-05,0.0,72.0,61.0,7.38,11.0,0.1025,0.0,7.829999999999999,8,Summer,-120.02778,38.25108,1070.0,309.6,126.3,366.1,Tuolumne County,2013
Falls Fire,2013-08-05,0.0,72.0,61.0,7.38,11.0,0.1025,0.0,7.829999999999999,8,Summer,-117.40288,33.62236,1383.0,326.0,385.6,402.6,Riverside County,2013
Tram Fire,2013-08-06,0.0,71.0,62.0,8.28,9.0,0.1166197183098591,0.0,7.638571428571429,8,Summer,-116.61,38.838,60.0,294.936717062635,62.11792656587474,325.1451403887689,,2013
Indian Fire,2013-08-07,0.0,71.0,62.0,7.16,9.0,0.1008450704225352,0.0,7.287142857142858,8,Summer,-122.5906,39.1591,38.0,297.4728395061728,58.32239858906526,329.08483245149915,Lake County,2013
Silver Fire,2013-08-07,0.0,71.0,62.0,7.16,9.0,0.1008450704225352,0.0,7.287142857142858,8,Summer,-116.90427,33.86157,20292.0,297.4728395061728,58.32239858906526,329.08483245149915,Riverside County,2013
Corral Complex,2013-08-10,0.0,72.0,62.0,7.61,10.0,0.1056944444444444,0.0,7.862857142857144,8,Summer,-123.488,41.035,12503.0,310.1057827926657,415.9070521861777,358.9021156558534,Humboldt County,2013
Cottonwood Fire,2013-08-15,0.0,73.0,64.0,6.26,9.0,0.0857534246575342,0.0,6.934285714285714,8,Summer,-122.578393,41.923323,50.0,298.80068212824017,235.36766712141883,337.1242837653479,Siskiyou County,2013
Union Fire,2013-08-16,0.0,73.0,63.0,7.38,10.0,0.1010958904109589,0.0,6.838571428571428,8,Summer,-120.839075,38.682378,116.0,301.49331919406154,98.70986214209968,340.2755037115589,El Dorado County,2013
Sharp Fire,2013-08-08,0.0,71.0,62.0,8.95,9.0,0.126056338028169,0.0,7.638571428571429,8,Summer,-117.62,34.35,243.0,294.3094155844156,75.34204545454546,328.1821428571429,San Bernardino County,2013
Cloverdale Fire,2013-08-14,0.0,73.0,64.0,5.82,9.0,0.0797260273972602,0.0,7.318571428571428,8,Summer,-122.48259,40.473356,27.0,298.995724137931,96.81641379310344,337.33282758620686,Shasta County,2013
Swedes Fire,2013-08-16,0.0,73.0,63.0,7.38,10.0,0.1010958904109589,0.0,6.838571428571428,8,Summer,-121.38236,39.446268,2264.0,301.49331919406154,98.70986214209968,340.2755037115589,Butte County,2013
American Fire,2013-08-10,0.0,72.0,62.0,7.61,10.0,0.1056944444444444,0.0,7.862857142857144,8,Summer,-120.65,39.12,27440.0,310.1057827926657,415.9070521861777,358.9021156558534,Placer County,2013
Coyote Fire,2013-08-09,0.0,71.0,62.0,8.05,9.0,0.1133802816901408,0.0,7.798571428571429,8,Summer,-120.958126,40.88886,97.0,301.5320284697509,195.31720047449585,348.029418742586,Lassen County,2013
Pierce Fire,2013-08-16,0.0,73.0,63.0,7.38,10.0,0.1010958904109589,0.0,6.838571428571428,8,Summer,-116.10815,33.570291,40.0,301.49331919406154,98.70986214209968,340.2755037115589,Riverside County,2013
Double Fire,2013-08-16,0.0,73.0,63.0,7.38,10.0,0.1010958904109589,0.0,6.838571428571428,8,Summer,-122.491894,39.013682,70.0,301.49331919406154,98.70986214209968,340.2755037115589,Lake County,2013
Bridges Fire,2013-08-17,0.0,71.0,62.0,7.83,9.0,0.110281690140845,0.0,6.869999999999999,8,Summer,-120.45233,38.06231,46.0,293.2907590759076,118.97145214521451,329.7980198019802,Calaveras County,2013
Cleghorn Fire,2013-08-17,0.0,71.0,62.0,7.83,9.0,0.110281690140845,0.0,6.869999999999999,8,Summer,-117.451,34.287,110.0,293.2907590759076,118.97145214521451,329.7980198019802,San Bernardino County,2013
Clover Fire,2013-09-09,0.0,69.0,62.0,7.61,7.0,0.1102898550724637,0.0,6.711428571428571,9,Fall,-122.535496,40.498332,8073.0,301.27861163227016,74.45647279549719,333.1787992495309,Shasta County,2013
Plumas Lightning Complex (Hough),2013-08-18,0.0,72.0,62.0,5.59,10.0,0.0776388888888888,0.0,6.678571428571429,8,Summer,-120.764666,40.00842,513.0,299.57678571428573,95.11636904761905,334.02261904761906,Plumas County,2013
Shirley Fire,2013-08-18,0.0,72.0,62.0,5.59,10.0,0.0776388888888888,0.0,6.678571428571429,8,Summer,-118.588,35.707,794.0,299.57678571428573,95.11636904761905,334.02261904761906,Kern County,2013
Burney Lightning Series (Warner Fire),2013-08-19,0.0,73.0,64.0,6.26,9.0,0.0857534246575342,0.0,6.614285714285715,8,Summer,-121.3754,40.5445,196.0,297.9135818908123,89.40359520639147,331.8583222370174,Shasta County,2013
Sierra Fire,2013-09-24,0.0,79.0,63.0,6.49,16.0,0.0821518987341772,0.0,6.838571428571429,9,Fall,-117.417,34.2,200.0,299.6552631578947,30.133458646616543,322.2161654135338,San Bernardino County,2013
Deer Fire,2013-08-23,0.0,77.0,62.0,6.49,15.0,0.0842857142857142,0.0,7.381428571428572,8,Summer,-121.85397,40.04263,11429.0,297.9078711985689,113.14991055456171,335.89123434704834,Tehama County,2013
Gobblers Fire,2013-08-20,0.0,71.0,62.0,8.72,9.0,0.1228169014084507,0.0,6.837142857142857,8,Summer,-117.598,34.302,413.0,298.3853658536585,118.86006097560976,333.98506097560977,San Bernardino County,2013
Fish Fire,2013-08-24,0.0,69.0,60.0,6.93,9.0,0.1004347826086956,0.0,7.252857142857144,8,Summer,-118.444,36.208,2060.0,315.57500000000005,574.675,374.525,Tulare County,2013
Empire Fire,2013-08-24,0.0,69.0,60.0,6.93,9.0,0.1004347826086956,0.0,7.252857142857144,8,Summer,-120.84716,38.89555,38.0,297.74799446749654,88.47510373443983,334.4603042876902,El Dorado County,2013
Little Fire,2013-08-24,0.0,69.0,60.0,6.93,9.0,0.1004347826086956,0.0,7.252857142857144,8,Summer,-116.706,33.642,97.0,297.74799446749654,88.47510373443983,334.4603042876902,Riverside County,2013
Chestnut Fire,2013-09-07,0.0,82.0,67.0,7.38,15.0,0.09,0.0,6.87,9,Fall,-122.427285,37.667295,41.0,313.0,25.6,334.5,San Mateo County,2013
Morgan Fire,2013-09-08,0.0,72.0,63.0,7.61,9.0,0.1056944444444444,0.0,6.711428571428572,9,Fall,-121.882582,37.90757,3111.0,297.7180327868853,56.90273224043716,327.65737704918035,Contra Costa County,2013
Angora Fire,2013-09-08,0.0,72.0,63.0,7.61,9.0,0.1056944444444444,0.0,6.711428571428572,9,Fall,-118.459,36.258,134.0,301.0,128.6,369.9,Tulare County,2013
Liveoak Fire,2013-09-11,0.0,73.0,64.0,7.83,9.0,0.1072602739726027,0.0,6.871428571428572,9,Fall,-117.106075,34.003151,73.0,298.3073878627968,45.103166226912926,325.5348284960422,Riverside County,2013
Madre Fire,2013-09-23,0.0,81.0,61.0,6.04,20.0,0.0745679012345679,0.0,6.614285714285714,9,Fall,-117.908,34.149,268.0,296.37588235294123,27.725882352941174,318.06,Los Angeles County,2013
Davis Creek Complex,2013-09-05,0.0,83.0,69.0,4.92,14.0,0.0592771084337349,0.0,6.838571428571428,9,Fall,-120.375,41.73325,97.0,298.2191011235955,63.76825842696629,326.76853932584265,Modoc County,2013
Tyler Fire,2013-08-31,0.0,84.0,71.0,7.38,13.0,0.0878571428571428,0.0,6.549999999999999,8,Summer,-121.107022,39.333401,52.0,296.8838652482269,101.722695035461,334.1831560283688,Nevada County,2013
Centerville Fire,2013-08-31,0.0,84.0,71.0,7.38,13.0,0.0878571428571428,0.0,6.549999999999999,8,Summer,-121.713938,39.731878,80.0,296.8838652482269,101.722695035461,334.1831560283688,Butte County,2013
Rail Fire,2013-09-07,0.0,82.0,67.0,7.38,15.0,0.09,0.0,6.87,9,Fall,-120.959,41.569,68.0,297.5150442477876,56.05486725663717,326.0342182890856,Modoc County,2013
Rim Fire,2013-08-17,0.0,71.0,62.0,7.83,9.0,0.110281690140845,0.0,6.869999999999999,8,Summer,-120.086,37.857,257314.0,293.2907590759076,118.97145214521451,329.7980198019802,Tuolumne County,2013
Lyon Fire,2013-09-09,0.0,69.0,62.0,7.61,7.0,0.1102898550724637,0.0,6.711428571428571,9,Fall,-116.746023,32.710918,263.0,301.27861163227016,74.45647279549719,333.1787992495309,San Diego County,2013
Lakeshore Fire,2013-09-15,0.0,77.0,65.0,6.26,12.0,0.0812987012987013,0.0,6.711428571428572,9,Fall,-122.683,38.9777,30.0,298.2872807017544,37.379385964912274,325.2956140350877,Lake County,2013
Creek Fire,2013-09-24,0.0,79.0,63.0,6.49,16.0,0.0821518987341772,0.0,6.838571428571429,9,Fall,-120.8358,35.4393,94.0,299.6552631578947,30.133458646616543,322.2161654135338,San Luis Obispo County,2013
Highland Fire,2013-09-28,0.0,87.0,59.0,6.93,28.0,0.0796551724137931,0.0,7.508571428571428,9,Fall,-122.966,38.9252,98.0,296.17236842105257,42.86271929824561,320.0530701754386,Mendocino County,2013
Putah Fire,2013-10-03,0.0,70.0,63.0,6.49,7.0,0.0927142857142857,0.0,6.487142857142857,10,Fall,-122.289,38.628,376.0,293.7961089494163,26.45214007782101,320.2731517509728,Napa County,2013
Crane Fire,2013-10-04,0.0,82.0,64.0,4.7,18.0,0.0573170731707317,0.0,6.04,10,Fall,-122.6503,38.34599,159.0,294.0269230769231,25.17008547008547,317.2717948717949,Sonoma County,2013
DeLuz Fire,2013-10-05,0.0,91.0,59.0,4.7,32.0,0.0516483516483516,0.0,5.721428571428571,10,Fall,-117.3092,33.341,2236.0,292.6220125786164,43.191823899371066,318.3993710691824,San Diego County,2013
