fire_name,fire_dateonly_created,precipitation,max_temp,min_temp,avg_wind_speed,temp_range,wind_temp_ratio,lagged_precipitation,lagged_avg_wind_speed,month,season,fire_longitude,fire_latitude,fire_acres_burned,fire_county
 Bridge Fire,2017-10-31,0.0,69.0,63.0,6.04,6.0,0.0875362318840579,0.0,6.391428571428572,10,Fall,-122.309,40.774,37.0,Shasta
Pala Fire,2009-05-24,0.0,68.0,59.0,8.5,9.0,0.125,0.0,8.181428571428572,5,Spring,1.0,1.0,122.0,San Diego
River Fire,2013-02-24,0.0,65.0,46.0,7.61,19.0,0.117076923076923,0.1300000000000006,8.885714285714286,2,Winter,-118.01651,36.602575,407.0,Inyo
Fawnskin Fire,2013-04-20,0.0,78.0,55.0,5.82,23.0,0.0746153846153846,0.0600000000000006,9.332857142857142,4,Spring,-116.941311,34.288877,30.0,San Bernardino
Gold Fire,2013-04-30,0.0,67.0,59.0,7.61,8.0,0.1135820895522388,0.0,7.062857142857142,4,Spring,-119.635004,37.116295,274.0,Madera
Panther Fire,2013-05-01,0.0,71.0,61.0,7.61,10.0,0.1071830985915493,0.0,7.382857142857143,5,Spring,-121.595555,40.190062,6896.0,Tehama
Silverado Fire,2013-04-30,0.0,67.0,59.0,7.61,8.0,0.1135820895522388,0.0,7.062857142857142,4,Spring,-122.350844,38.441792,75.0,Napa
Yellow Fire,2013-05-01,0.0,71.0,61.0,7.61,10.0,0.1071830985915493,0.0,7.382857142857143,5,Spring,-122.655616,38.638828,125.0,Sonoma
Summit Fire,2013-05-01,0.0,71.0,61.0,7.61,10.0,0.1071830985915493,0.0,7.382857142857143,5,Spring,-116.941311,34.288877,2956.0,Riverside
Tres Pinos Fire,2013-05-03,0.0,90.0,61.0,6.04,29.0,0.0671111111111111,0.0,6.871428571428572,5,Spring,-120.937494,37.160346,354.0,San Benito
306 Fire,2013-05-01,0.0,71.0,61.0,7.61,10.0,0.1071830985915493,0.0,7.382857142857143,5,Spring,-122.560862,39.514139,217.0,Glenn
Lytle Fire,2013-05-13,0.0,84.0,65.0,7.61,19.0,0.0905952380952381,0.2000000000000006,7.925714285714285,5,Spring,-117.4408,34.1834,75.0,San Bernardino
Gorgonio Fire,2013-05-04,0.0,73.0,59.0,8.5,14.0,0.1164383561643835,0.0,7.031428571428571,5,Spring,-116.855019,33.894055,650.0,Riverside
Grand Fire,2013-05-15,0.0,70.0,58.0,6.93,12.0,0.0989999999999999,0.0,7.444285714285714,5,Spring,-118.9411,34.7861,4346.0,"Kern, Ventura"
54 Fire,2013-05-16,0.0,70.0,62.0,7.38,8.0,0.1054285714285714,0.0,7.508571428571428,5,Spring,-116.161201,33.655638,40.0,Riverside
Lake Fire,2013-05-17,0.0,71.0,62.0,7.16,9.0,0.1008450704225352,0.0,7.477142857142858,5,Spring,-118.610044,34.49149,712.0,Los Angeles
Lilly 2 Fire,2013-05-19,0.0,71.0,58.0,6.26,13.0,0.088169014084507,0.0,7.477142857142858,5,Spring,-119.7917,37.1927,91.0,Madera
Cottontail Fire,2013-05-20,0.0,73.0,61.0,6.71,12.0,0.091917808219178,0.0,7.348571428571428,5,Spring,-120.91375,35.49864,35.0,San Luis Obispo
Cherry Fire,2013-05-20,0.0,73.0,61.0,6.71,12.0,0.091917808219178,0.0,7.348571428571428,5,Spring,-116.907213,33.96201,25.0,Riverside
Water Fire,2013-05-21,0.0,74.0,62.0,7.16,12.0,0.0967567567567567,0.0,6.869999999999999,5,Spring,-116.6534,33.9582,90.0,Riverside
Shelton Fire,2013-05-30,0.0,75.0,64.0,6.71,11.0,0.0894666666666666,0.0,8.052857142857142,5,Spring,-120.90325,38.04993,303.0,San Joaquin
Border Fire,2013-05-22,0.0,71.0,63.0,8.5,8.0,0.1197183098591549,0.0,7.094285714285713,5,Spring,-116.900368,32.564465,100.0,San Diego
San Felipe Fire,2013-05-23,0.0,70.0,61.0,9.17,9.0,0.131,0.0,7.35,5,Spring,-116.52579,33.12111,2650.0,San Diego
Homestead Fire,2013-05-25,0.0,69.0,59.0,8.72,10.0,0.1263768115942029,0.0,7.732857142857143,5,Spring,-120.6368,35.5123,50.0,San Luis Obispo
Smiley Fire,2013-05-25,0.0,69.0,59.0,8.72,10.0,0.1263768115942029,0.0,7.732857142857143,5,Spring,-117.187934,33.963591,124.0,Riverside
General Fire,2013-05-26,0.0,70.0,59.0,7.38,11.0,0.1054285714285714,0.0,7.892857142857143,5,Spring,-116.5209,33.04458,2500.0,San Diego
White Fire,2013-05-27,0.0,71.0,60.0,7.16,11.0,0.1008450704225352,0.0,7.957142857142857,5,Spring,-119.82429,34.55048,1984.0,Santa Barbara
Magic Fire,2013-05-28,0.0,74.0,62.0,9.17,12.0,0.1239189189189189,0.0,8.244285714285715,5,Spring,-118.58688,34.419284,149.0,Los Angeles
Olive Fire,2013-05-28,0.0,74.0,62.0,9.17,12.0,0.1239189189189189,0.0,8.244285714285715,5,Spring,-120.074655,34.611824,170.0,Santa Barbara
Branch Fire,2013-06-01,0.0,73.0,63.0,6.71,10.0,0.091917808219178,0.0,7.732857142857143,6,Summer,-120.05131,35.15832,500.0,San Luis Obispo
Murphy Fire,2013-06-02,0.0,76.0,65.0,6.26,11.0,0.0823684210526315,0.0,7.572857142857143,6,Summer,-120.33313,37.91529,100.0,Tuolumne
Lone Fire,2013-06-03,0.0,73.0,64.0,7.83,9.0,0.1072602739726027,0.0,7.668571428571428,6,Summer,-121.576804,39.434183,298.0,Butte
Hathaway Fire,2013-06-09,0.0,70.0,62.0,6.71,8.0,0.0958571428571428,0.0,7.734285714285714,6,Summer,-116.84137,33.99647,0.0,Riverside
Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10,0.0,73.0,63.0,8.28,10.0,0.1134246575342465,0.0,7.798571428571429,6,Summer,-122.0437,38.4229,28.0,"Sonoma, Solano, Lake, Colusa"
152 Fire,2013-06-04,0.0,71.0,63.0,9.62,8.0,0.1354929577464788,0.0,7.732857142857142,6,Summer,-121.006939,37.03776,124.0,Merced
Lake Fire,2013-06-05,0.0,69.0,62.0,10.07,7.0,0.1459420289855072,0.0,7.797142857142857,6,Summer,-122.703193,38.99233,30.0,Lake
Powerhouse Fire,2013-05-30,0.0,75.0,64.0,6.71,11.0,0.0894666666666666,0.0,8.052857142857142,5,Spring,-118.423176,34.585595,30274.0,Los Angeles
Vasco Fire,2013-06-08,0.0,72.0,62.0,5.59,10.0,0.0776388888888888,0.0,7.67,6,Summer,-121.737213,37.775057,240.0,Alameda
Viper Fire,2013-06-08,0.0,72.0,62.0,5.59,10.0,0.0776388888888888,0.0,7.67,6,Summer,-117.1265,33.96936,42.0,Riverside
Northern California Lightning Activity,2013-06-10,0.0,73.0,63.0,8.28,10.0,0.1134246575342465,0.0,7.798571428571429,6,Summer,-121.5747,39.9845,60.0,
Roadrunner Fire,2013-06-12,0.0,69.0,62.0,7.61,7.0,0.1102898550724637,0.0,7.287142857142858,6,Summer,-120.966016,38.27783,96.0,Amador
Revis Fire,2013-06-12,0.0,69.0,62.0,7.61,7.0,0.1102898550724637,0.0,7.287142857142858,6,Summer,-119.75636,37.169379,75.0,Madera
Clinton Fire,2013-06-13,0.0,72.0,62.0,6.93,10.0,0.09625,0.0,7.158571428571428,6,Summer,-119.628389,36.772425,108.0,Fresno
Carstens Fire,2013-06-16,0.0,71.0,61.0,8.05,10.0,0.1133802816901408,0.0,7.99,6,Summer,-119.91071,37.58202,1708.0,Mariposa
PFE Fire,2013-06-13,0.0,72.0,62.0,6.93,10.0,0.09625,0.0,7.158571428571428,6,Summer,-121.380862,38.729297,237.0,Placer
Michelle Fire,2013-06-13,0.0,72.0,62.0,6.93,10.0,0.09625,0.0,7.158571428571428,6,Summer,-119.558244,36.763367,35.0,Fresno
Palmyrita Fire,2013-06-14,0.0,73.0,61.0,7.16,12.0,0.0980821917808219,0.0,7.254285714285714,6,Summer,-117.302057,34.001745,40.0,Riverside
Rolling Fire,2013-06-16,0.0,71.0,61.0,8.05,10.0,0.1133802816901408,0.0,7.99,6,Summer,-119.78106,37.015575,480.0,Madera
California Fire,2013-06-18,0.0,73.0,63.0,7.61,10.0,0.1042465753424657,0.0,7.511428571428572,6,Summer,-122.13802,38.08744,124.0,Solano
Sierra Fire,2013-06-17,0.0,71.0,60.0,5.82,11.0,0.0819718309859155,0.0,7.63857142857143,6,Summer,-119.463757,37.03087,46.0,Fresno
George Fire,2013-06-25,0.0,72.0,64.0,8.95,8.0,0.1243055555555555,0.0,7.67,6,Summer,-119.2248,36.7218,150.0,Fresno
Mount Fire,2013-06-20,0.0,75.0,61.0,6.49,14.0,0.0865333333333333,0.0,7.384285714285714,6,Summer,-122.81796,38.98058,25.0,Lake
Mills Fire,2013-06-28,0.0,76.0,64.0,6.71,12.0,0.0882894736842105,0.0,7.637142857142857,6,Summer,-117.048397,34.071556,534.0,San Bernardino
Concord Fire,2013-07-01,0.0,81.0,66.0,6.71,15.0,0.0828395061728395,0.0,6.805714285714286,7,Summer,-121.74367,39.90465,274.0,Contra Costa
Freeman Fire,2013-06-29,0.0,76.0,63.0,6.71,13.0,0.0882894736842105,0.0,7.412857142857143,6,Summer,-120.8973,36.1531,105.0,Monterey
Kirker Fire,2013-07-01,0.0,81.0,66.0,6.71,15.0,0.0828395061728395,0.0,6.805714285714286,7,Summer,-121.91453,37.96866,492.0,Contra Costa
Northern Region July Lightning,2013-07-02,0.0,77.0,65.0,7.16,12.0,0.0929870129870129,0.0,6.549999999999999,7,Summer,-121.5747,39.9845,754.0,
Fox Fire (formally 3-7 Fire),2013-07-03,0.0,74.0,65.0,7.38,9.0,0.0997297297297297,0.0,6.614285714285715,7,Summer,-121.035,41.2415,502.0,Modoc
Vina Fire,2013-07-04,0.0,74.0,64.0,6.93,10.0,0.0936486486486486,0.0,6.677142857142857,7,Summer,-122.079871,40.012398,200.0,Tehama
Grant Fire,2013-07-04,0.0,74.0,64.0,6.93,10.0,0.0936486486486486,0.0,6.677142857142857,7,Summer,-121.5869,37.7393,50.0,Alameda
Fallon Fire,2013-07-06,0.0,75.0,66.0,6.49,9.0,0.0865333333333333,0.0,6.677142857142857,7,Summer,-121.86216,37.74241,38.0,Alameda
Chariot Fire,2013-07-06,0.0,75.0,66.0,6.49,9.0,0.0865333333333333,0.0,6.677142857142857,7,Summer,-116.47381,32.95435,7055.0,San Diego
Adelaida Fire,2013-07-07,0.0,72.0,65.0,7.38,7.0,0.1025,0.0,6.997142857142856,7,Summer,-120.83417,35.62743,85.0,San Luis Obispo
McGanney Fire,2013-07-08,0.0,75.0,64.0,7.83,11.0,0.1044,0.0,7.157142857142857,7,Summer,-121.31634,39.206,73.0,Yuba
Fiddler Fire,2013-07-09,0.0,76.0,65.0,6.71,11.0,0.0882894736842105,0.0,7.092857142857143,7,Summer,-122.7338,40.373,43.0,Shasta
Kyburz Fire,2013-07-08,0.0,75.0,64.0,7.83,11.0,0.1044,0.0,7.157142857142857,7,Summer,-120.298,38.774,572.0,El Dorado
Uvas Fire,2013-07-12,0.0,79.0,62.0,7.16,17.0,0.090632911392405,0.0,6.4557142857142855,7,Summer,-121.7804,37.1438,50.0,Santa Clara
Diablo Fire,2013-07-12,0.0,79.0,62.0,7.16,17.0,0.090632911392405,0.0,6.4557142857142855,7,Summer,-121.1955,37.436,150.0,Stanislaus
Mountain Fire,2013-07-15,0.0,75.0,64.0,8.28,11.0,0.1104,0.0,6.4557142857142855,7,Summer,-116.72885,33.7095,27531.0,Riverside
Orleans Complex,2013-08-03,0.0,74.0,63.0,7.16,11.0,0.0967567567567567,0.0,7.861428571428571,8,Summer,-123.376,41.333,0.0,Humboldt
Silverwood Fire,2013-07-25,0.0,73.0,63.0,8.05,10.0,0.1102739726027397,0.0100000000000006,7.508571428571429,7,Summer,-117.352,34.316,75.0,San Bernardino
Flume Fire,2013-07-28,0.0,71.0,63.0,6.93,8.0,0.0976056338028169,0.0300000000000006,8.307142857142857,7,Summer,-116.707335,32.612773,25.0,San Diego
Aspen Fire,2013-07-22,0.01,74.0,65.0,8.05,9.0,0.1087837837837838,0.0100000000000006,6.87,7,Summer,-119.318,37.279,22992.0,Fresno
Salmon River Complex,2013-07-31,0.0,70.0,63.0,9.62,7.0,0.1374285714285714,0.0200000000000006,8.308571428571428,7,Summer,-123.176,41.32,14754.0,Siskiyou
Branch Fire,2013-08-01,0.0,70.0,62.0,6.49,8.0,0.0927142857142857,0.0200000000000006,8.085714285714285,8,Summer,-121.50354,39.6612,92.0,Butte
Redlands Fire,2013-07-16,0.0,75.0,62.0,8.05,13.0,0.1073333333333333,0.0,6.647142857142858,7,Summer,-117.164997,33.990128,150.0,Riverside
Relay Fire,2013-08-04,0.0,71.0,61.0,7.61,10.0,0.1071830985915493,0.0,7.958571428571429,8,Summer,-116.99895,33.91027,60.0,Riverside
Water Fire,2013-07-23,0.0,73.0,63.0,10.51,10.0,0.143972602739726,0.0100000000000006,7.221428571428572,7,Summer,-118.93388,34.90327,612.0,Kern
Pratt Fire,2013-07-23,0.0,73.0,63.0,10.51,10.0,0.143972602739726,0.0100000000000006,7.221428571428572,7,Summer,-123.067671,38.980846,45.0,Mendocino
Rancho Fire,2013-07-19,0.0,73.0,63.0,6.93,10.0,0.094931506849315,0.0,7.381428571428572,7,Summer,-118.9194,34.882,500.0,Kern
Paskenta Fire,2013-07-19,0.0,73.0,63.0,6.93,10.0,0.094931506849315,0.0,7.381428571428572,7,Summer,-122.330879,39.961309,195.0,Tehama
Lakeville Fire,2013-07-26,0.02,73.0,63.0,7.38,10.0,0.1010958904109589,0.0300000000000006,7.572857142857143,7,Summer,-122.51253,38.17693,158.0,Sonoma
50 Fire,2013-07-19,0.0,73.0,63.0,6.93,10.0,0.094931506849315,0.0,7.381428571428572,7,Summer,-121.08438,38.63987,163.0,"El Dorado, Sacramento"
Heacock Fire,2013-07-19,0.0,73.0,63.0,6.93,10.0,0.094931506849315,0.0,7.381428571428572,7,Summer,-117.2508,33.9634,40.0,Riverside
Gilman Fire,2013-07-19,0.0,73.0,63.0,6.93,10.0,0.094931506849315,0.0,7.381428571428572,7,Summer,-117.09306,33.94528,15.0,Riverside
Chuckwagon Fire,2013-07-22,0.01,74.0,65.0,8.05,9.0,0.1087837837837838,0.0100000000000006,6.87,7,Summer,-120.696362,37.965364,31.0,Calaveras
Power Fire,2013-08-05,0.0,72.0,61.0,7.38,11.0,0.1025,0.0,7.829999999999999,8,Summer,-120.02778,38.25108,1070.0,Tuolumne
Falls Fire,2013-08-05,0.0,72.0,61.0,7.38,11.0,0.1025,0.0,7.829999999999999,8,Summer,-117.40288,33.62236,1383.0,Riverside
Tram Fire,2013-08-06,0.0,71.0,62.0,8.28,9.0,0.1166197183098591,0.0,7.638571428571429,8,Summer,-116.61,38.838,60.0,Riverside
Indian Fire,2013-08-07,0.0,71.0,62.0,7.16,9.0,0.1008450704225352,0.0,7.287142857142858,8,Summer,-122.5906,39.1591,38.0,Lake
Silver Fire,2013-08-07,0.0,71.0,62.0,7.16,9.0,0.1008450704225352,0.0,7.287142857142858,8,Summer,-116.90427,33.86157,20292.0,Riverside
Corral Complex,2013-08-10,0.0,72.0,62.0,7.61,10.0,0.1056944444444444,0.0,7.862857142857144,8,Summer,-123.488,41.035,12503.0,Humboldt
Cottonwood Fire,2013-08-15,0.0,73.0,64.0,6.26,9.0,0.0857534246575342,0.0,6.934285714285714,8,Summer,-122.578393,41.923323,50.0,Siskiyou
Union Fire,2013-08-16,0.0,73.0,63.0,7.38,10.0,0.1010958904109589,0.0,6.838571428571428,8,Summer,-120.839075,38.682378,116.0,El Dorado
Sharp Fire,2013-08-08,0.0,71.0,62.0,8.95,9.0,0.126056338028169,0.0,7.638571428571429,8,Summer,-117.62,34.35,243.0,San Bernardino
Cloverdale Fire,2013-08-14,0.0,73.0,64.0,5.82,9.0,0.0797260273972602,0.0,7.318571428571428,8,Summer,-122.48259,40.473356,27.0,Shasta
Swedes Fire,2013-08-16,0.0,73.0,63.0,7.38,10.0,0.1010958904109589,0.0,6.838571428571428,8,Summer,-121.38236,39.446268,2264.0,Butte
American Fire,2013-08-10,0.0,72.0,62.0,7.61,10.0,0.1056944444444444,0.0,7.862857142857144,8,Summer,-120.65,39.12,27440.0,Placer
Coyote Fire,2013-08-09,0.0,71.0,62.0,8.05,9.0,0.1133802816901408,0.0,7.798571428571429,8,Summer,-120.958126,40.88886,97.0,Lassen
Pierce Fire,2013-08-16,0.0,73.0,63.0,7.38,10.0,0.1010958904109589,0.0,6.838571428571428,8,Summer,-116.10815,33.570291,40.0,Riverside
Double Fire,2013-08-16,0.0,73.0,63.0,7.38,10.0,0.1010958904109589,0.0,6.838571428571428,8,Summer,-122.491894,39.013682,70.0,Lake
Bridges Fire,2013-08-17,0.0,71.0,62.0,7.83,9.0,0.110281690140845,0.0,6.869999999999999,8,Summer,-120.45233,38.06231,46.0,Calaveras
Cleghorn Fire,2013-08-17,0.0,71.0,62.0,7.83,9.0,0.110281690140845,0.0,6.869999999999999,8,Summer,-117.451,34.287,110.0,San Bernardino
Clover Fire,2013-09-09,0.0,69.0,62.0,7.61,7.0,0.1102898550724637,0.0,6.711428571428571,9,Fall,-122.535496,40.498332,8073.0,Shasta
Plumas Lightning Complex (Hough),2013-08-18,0.0,72.0,62.0,5.59,10.0,0.0776388888888888,0.0,6.678571428571429,8,Summer,-120.764666,40.00842,513.0,Plumas
Shirley Fire,2013-08-18,0.0,72.0,62.0,5.59,10.0,0.0776388888888888,0.0,6.678571428571429,8,Summer,-118.588,35.707,794.0,Kern
Burney Lightning Series (Warner Fire),2013-08-19,0.0,73.0,64.0,6.26,9.0,0.0857534246575342,0.0,6.614285714285715,8,Summer,-121.3754,40.5445,196.0,Shasta
Sierra Fire,2013-09-24,0.0,79.0,63.0,6.49,16.0,0.0821518987341772,0.0,6.838571428571429,9,Fall,-117.417,34.2,200.0,San Bernardino
Deer Fire,2013-08-23,0.0,77.0,62.0,6.49,15.0,0.0842857142857142,0.0,7.381428571428572,8,Summer,-121.85397,40.04263,11429.0,Tehama
Gobblers Fire,2013-08-20,0.0,71.0,62.0,8.72,9.0,0.1228169014084507,0.0,6.837142857142857,8,Summer,-117.598,34.302,413.0,San Bernardino
Fish Fire,2013-08-24,0.0,69.0,60.0,6.93,9.0,0.1004347826086956,0.0,7.252857142857144,8,Summer,-118.444,36.208,2060.0,Tulare
Empire Fire,2013-08-24,0.0,69.0,60.0,6.93,9.0,0.1004347826086956,0.0,7.252857142857144,8,Summer,-120.84716,38.89555,38.0,El Dorado
Little Fire,2013-08-24,0.0,69.0,60.0,6.93,9.0,0.1004347826086956,0.0,7.252857142857144,8,Summer,-116.706,33.642,97.0,San Bernardino
Chestnut Fire,2013-09-07,0.0,82.0,67.0,7.38,15.0,0.09,0.0,6.87,9,Fall,-122.427285,37.667295,41.0,San Mateo
Morgan Fire,2013-09-08,0.0,72.0,63.0,7.61,9.0,0.1056944444444444,0.0,6.711428571428572,9,Fall,-121.882582,37.90757,3111.0,Contra Costa
Angora Fire,2013-09-08,0.0,72.0,63.0,7.61,9.0,0.1056944444444444,0.0,6.711428571428572,9,Fall,-118.459,36.258,134.0,Tulare
Liveoak Fire,2013-09-11,0.0,73.0,64.0,7.83,9.0,0.1072602739726027,0.0,6.871428571428572,9,Fall,-117.106075,34.003151,73.0,San Bernardino
Madre Fire,2013-09-23,0.0,81.0,61.0,6.04,20.0,0.0745679012345679,0.0,6.614285714285714,9,Fall,-117.908,34.149,268.0,Los Angeles
Davis Creek Complex,2013-09-05,0.0,83.0,69.0,4.92,14.0,0.0592771084337349,0.0,6.838571428571428,9,Fall,-120.375,41.73325,97.0,Modoc
Tyler Fire,2013-08-31,0.0,84.0,71.0,7.38,13.0,0.0878571428571428,0.0,6.549999999999999,8,Summer,-121.107022,39.333401,52.0,Nevada
Centerville Fire,2013-08-31,0.0,84.0,71.0,7.38,13.0,0.0878571428571428,0.0,6.549999999999999,8,Summer,-121.713938,39.731878,80.0,Butte
Rail Fire,2013-09-07,0.0,82.0,67.0,7.38,15.0,0.09,0.0,6.87,9,Fall,-120.959,41.569,68.0,Modoc
Rim Fire,2013-08-17,0.0,71.0,62.0,7.83,9.0,0.110281690140845,0.0,6.869999999999999,8,Summer,-120.086,37.857,257314.0,Tuolumne
Lyon Fire,2013-09-09,0.0,69.0,62.0,7.61,7.0,0.1102898550724637,0.0,6.711428571428571,9,Fall,-116.746023,32.710918,263.0,San Diego
Lakeshore Fire,2013-09-15,0.0,77.0,65.0,6.26,12.0,0.0812987012987013,0.0,6.711428571428572,9,Fall,-122.683,38.9777,30.0,Lake
Creek Fire,2013-09-24,0.0,79.0,63.0,6.49,16.0,0.0821518987341772,0.0,6.838571428571429,9,Fall,-120.8358,35.4393,94.0,San Luis Obispo
Highland Fire,2013-09-28,0.0,87.0,59.0,6.93,28.0,0.0796551724137931,0.0,7.508571428571428,9,Fall,-122.966,38.9252,98.0,Mendocino
Putah Fire,2013-10-03,0.0,70.0,63.0,6.49,7.0,0.0927142857142857,0.0,6.487142857142857,10,Fall,-122.289,38.628,376.0,Napa
Crane Fire,2013-10-04,0.0,82.0,64.0,4.7,18.0,0.0573170731707317,0.0,6.04,10,Fall,-122.6503,38.34599,159.0,Sonoma
DeLuz Fire,2013-10-05,0.0,91.0,59.0,4.7,32.0,0.0516483516483516,0.0,5.721428571428571,10,Fall,-117.3092,33.341,2236.0,San Diego
Summit Fire,2013-10-04,0.0,82.0,64.0,4.7,18.0,0.0573170731707317,0.0,6.04,10,Fall,-121.497,39.439,305.0,Butte
Baker Fire,2013-10-06,0.0,91.0,62.0,6.26,29.0,0.0687912087912087,0.0,5.912857142857143,10,Fall,-117.6649,33.7655,40.0,Orange
Capay Fire,2013-11-04,0.0,67.0,60.0,6.93,7.0,0.1034328358208955,0.0,6.262857142857143,11,Fall,-122.08725,38.67479,163.0,Yolo
Dersch Fire,2013-11-07,0.0,85.0,58.0,6.71,27.0,0.0789411764705882,0.0,6.198571428571428,11,Fall,-122.140914,40.483662,33.0,Shasta
Toro Fire,2013-11-08,0.0,76.0,54.0,5.82,22.0,0.076578947368421,0.0,6.198571428571428,11,Fall,-120.751555,35.457978,51.0,San Luis Obispo
Cantwell Fire,2013-11-08,0.0,76.0,54.0,5.82,22.0,0.076578947368421,0.0,6.198571428571428,11,Fall,-122.567525,38.882214,120.0,Lake
Silverado Fire,2013-11-21,0.26,63.0,57.0,6.93,6.0,0.11,0.3800000000000006,6.167142857142857,11,Fall,-122.311,38.382,190.0,Napa
Wheeler Fire,2013-11-14,0.0,90.0,62.0,4.7,28.0,0.0522222222222222,0.0,5.0842857142857145,11,Fall,-119.13249,34.384,64.0,Ventura
Retek Fire,2013-11-22,0.0,66.0,56.0,4.92,10.0,0.0745454545454545,0.3800000000000006,5.815714285714286,11,Fall,-123.1478,39.0442,82.0,Mendocino
McCabe Fire,2013-11-22,0.0,66.0,56.0,4.92,10.0,0.0745454545454545,0.3800000000000006,5.815714285714286,11,Fall,-122.8498,38.8167,3505.0,Sonoma
Bruner Fire,2013-11-23,0.0,68.0,53.0,5.82,15.0,0.0855882352941176,0.3800000000000006,6.071428571428571,11,Fall,-122.7656,39.0448,50.0,Lake
Dam Fire,2013-11-23,0.0,68.0,53.0,5.82,15.0,0.0855882352941176,0.3800000000000006,6.071428571428571,11,Fall,-122.5818,38.9289,23.0,Lake
Grant Fire,2013-12-31,0.0,66.0,46.0,3.36,20.0,0.0509090909090909,0.0,3.5785714285714283,12,Winter,-121.717706,37.342186,40.0,Santa Clara
Campbell Fire,2014-01-02,0.0,78.0,50.0,4.92,28.0,0.063076923076923,0.0,3.994285714285714,1,Winter,-121.790183,40.134597,865.0,Tehama
Colby Fire,2014-01-16,0.0,84.0,54.0,2.46,30.0,0.0292857142857142,0.0,3.644285714285714,1,Winter,-117.8816,34.1703,1952.0,Los Angeles
Red Fire,2014-01-04,0.0,65.0,50.0,4.03,15.0,0.062,0.0,3.898571428571429,1,Winter,-123.773779,40.884415,333.0,Humboldt
Lake Fire,2014-01-25,0.0,75.0,58.0,4.92,17.0,0.0656,0.0,4.377142857142856,1,Winter,-119.3415,36.8266,106.0,Fresno
Gun Fire,2014-03-08,0.0,76.0,53.0,5.14,23.0,0.0676315789473684,0.0,5.688571428571429,3,Spring,-116.49,32.81,125.0,San Diego
Encinal Fire,2014-03-19,0.0,70.0,57.0,5.37,13.0,0.0767142857142857,0.0,6.518571428571429,3,Spring,-121.4819,36.6313,400.0,Monterey
Van Buren Fire,2014-03-28,0.0,67.0,53.0,7.61,14.0,0.1135820895522388,0.0100000000000006,9.202857142857145,3,Spring,-116.1985,33.5982,57.0,Riverside
Bridges Fire,2014-04-19,0.0,67.0,58.0,7.16,9.0,0.106865671641791,0.0,7.252857142857143,4,Spring,-118.352,37.399,113.0,Inyo
Etiwanda Fire,2014-04-30,0.0,89.0,63.0,5.37,26.0,0.0603370786516853,0.0900000000000006,9.364285714285714,4,Spring,-117.547374,34.169346,2143.0,San Bernardino
Jacumba Fire,2014-05-05,0.0,70.0,58.0,10.51,12.0,0.1501428571428571,0.0,6.967142857142856,5,Spring,-116.222,32.665,29.0,San Diego
Bernardo Fire,2014-05-13,0.0,93.0,64.0,7.83,29.0,0.0841935483870967,0.0,8.66,5,Spring,-117.133,33.003,1548.0,San Diego
San Lucas Fire,2014-04-30,0.0,89.0,63.0,5.37,26.0,0.0603370786516853,0.0900000000000006,9.364285714285714,4,Spring,-121.117,36.103,75.0,Monterey
Miguelito Fire,2014-05-13,0.0,93.0,64.0,7.83,29.0,0.0841935483870967,0.0,8.66,5,Spring,-120.454,34.609,632.0,Santa Barbara
Tomahawk Fire,2014-05-14,0.0,96.0,65.0,8.05,31.0,0.0838541666666666,0.0,8.371428571428572,5,Spring,-117.284889,33.3529,5367.0,San Diego
San Mateo Fire,2014-05-16,0.0,91.0,67.0,6.04,24.0,0.0663736263736263,0.0,8.372857142857143,5,Spring,-117.550567,33.417572,1457.0,San Diego
Highway Fire,2014-05-14,0.0,96.0,65.0,8.05,31.0,0.0838541666666666,0.0,8.371428571428572,5,Spring,-117.162,33.312,380.0,San Diego
Fiddler Fire,2014-05-14,0.0,96.0,65.0,8.05,31.0,0.0838541666666666,0.0,8.371428571428572,5,Spring,-122.721,40.39,50.0,Shasta
Cocos Fire,2014-05-14,0.0,96.0,65.0,8.05,31.0,0.0838541666666666,0.0,8.371428571428572,5,Spring,-117.1599,33.1137,1995.0,San Diego
Poinsettia Fire,2014-05-14,0.0,96.0,65.0,8.05,31.0,0.0838541666666666,0.0,8.371428571428572,5,Spring,-117.279,33.1109,600.0,San Diego
Indian Fire,2014-05-25,0.0,72.0,63.0,8.5,9.0,0.1180555555555555,0.0,8.948571428571428,5,Spring,-122.5983,39.1647,175.0,Lake
59 Fire,2014-06-04,0.0,72.0,60.0,7.83,12.0,0.10875,0.0,7.86,6,Summer,-120.45087,37.76617,402.0,Tuolumne
Hetch Hetchy Fire,2014-06-05,0.0,71.0,61.0,8.28,10.0,0.1166197183098591,0.0,7.828571428571428,6,Summer,-120.452,37.787,269.0,Tuolumne
Hall Fire,2014-06-11,0.0,72.0,63.0,9.62,9.0,0.1336111111111111,0.0,7.957142857142856,6,Summer,-119.241493,36.742747,25.0,Fresno
Morgan Fire,2014-06-09,0.0,69.0,59.0,6.26,10.0,0.0907246376811594,0.0,7.732857142857143,6,Summer,-119.525506,36.991825,40.0,Fresno
Norman Fire,2014-06-12,0.0,71.0,62.0,8.72,9.0,0.1228169014084507,0.0,8.02,6,Summer,38.453,121.999,70.0,Solano
Haigh Fire,2014-06-10,0.0,71.0,63.0,7.83,8.0,0.110281690140845,0.0,7.701428571428571,6,Summer,-120.197,37.7103,130.0,Mariposa
